id,district,microdistrict,city,area,ceiling_height,year,add_time,update_time,rooms,text,housing_estate,floor,total_floors,building_type1,building_type2,lat,lng,currency,price,street,build_number,total_area,living_area,kitchen_area,with_hosts,not_assignment,collateral_real_estate,from_builder,by_assignment,no_commission,contract_of_lifelong_maintenance,exclusive,surrendered_first_time,without_finishing,without_a_balcony,common_kitchen,is_tech_floor,do_not_disturb_mediators
337762958,1,,4,,,,1489486452,1491751466,4,,85,,,,,50.4114007222,30.5455394831,1,2700,517,,149,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
336871022,5,,4,,3.3,2012,1487081404,1491909018,,,46,,23,1,,50.4018,30.6142,1,2500,736,14,,,,,,,,,,,,,,,,,
336173150,1,,4,,3,2010,1485342608,1491829832,,,85,,19,1,,50.411896,30.545631,1,3448,517,14,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
337883062,8,,4,,2.55,1970,1489766705,1489766705,3,,,9,9,3,13,50.454009,30.352888,1,3900,93,127,72,48,7,,,,,,,,,,,,,,
338458362,3,,4,,2.9,2003,1392070995,1491868459,,,,4,15,1,9,50.452121,30.485893,1,3111,166,26/41,,,,,,,,,,,,,,,,,
338461337,7,,4,,2.75,2013,1491491405,1491883804,,,83,16,25,1,,50.401217,30.512024,1,3356,320,60,,,,,,,,,,,,,,,,,
338425465,2,54,4,,3.6,,1491392586,1491651795,3,,2,,,,,50.4655129766,30.4753789399,1,2670,,,174,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
334115134,1,,4,,3,2014,1479142389,1491762617,3,,85,,,,,50.409632,30.544295,1,2500,517,20,115,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
338389978,5,,4,,2.75,2010,1491210416,1491478859,2,,,12,12,1,12,50.421926,30.64546,2,100000,326,58б,78.2,39,15.3,,,,,,,,,,,,,,
337800186,7,9,4,,3,2003,1489566396,1491820003,2,,63,3,16,1,,50.386345,30.458906,2,78000,143,13,75,32,12,,,,,,,,,,,,,,
335676811,5,45,4,,3,2014,1484147748,1491904955,3,,218,13,25,1,,50.387367,30.625023,2,70000,75,24,92,56,15,True,,False,False,False,False,False,False,False,False,False,False,False,False
